fid,adm3,adm3_code,adm2,adm2_code,adm1,adm1_code,pop,hh,area,health,schools,prov_elec,prov_poverty
"180",Mahele,MZ050302,Magude,MZ0503,Maputo,MZ05,"4183","837","866","1","0","96","14"
"181",Maiaca,MZ081101,Maua,MZ0811,Niassa,MZ08,"17354","3471","1912","2","0","16","47"
"182",Majaua,MZ111301,Milange,MZ1113,Zambezia,MZ11,"83608","16722","654","2","0","13","53"
"183",Makluane,MZ020102,Bilene,MZ0201,Gaza,MZ02,"13069","2614","540","2","0","46","35"
"184",Malanga,MZ080801,Majune,MZ0808,Niassa,MZ08,"37097","7419","5260","5","0","16","47"
"185",Malehice,MZ020206,Chibuto,MZ0202,Gaza,MZ02,"59534","11907","486","4","0","46","35"
"186",Malema,MZ070802,Malema,MZ0708,Nampula,MZ07,"134869","26974","2359","5","1","23","45"
"187",Malowera,MZ101104,Maravia,MZ1011,Tete,MZ10,"88417","17683","5175","3","0","15","48"
"188",Maluana,MZ050403,Manhiça,MZ0504,Maputo,MZ05,"20106","4021","450","2","0","96","14"
"189",Mandie,MZ040402,Guro,MZ0404,Manica,MZ04,"30822","6164","1169","1","0","22","33"
"190",Mandimba,MZ080901,Mandimba,MZ0809,Niassa,MZ08,"175480","35096","1535","7","1","16","47"
"191",Mandlakaze,MZ021104,Mandlakaze,MZ0211,Gaza,MZ02,"32033","6407","98","4","1","46","35"
"192",Manhica,MZ050404,Manhiça,MZ0504,Maputo,MZ05,"89217","17843","412","2","0","96","14"
"193",Maniamba,MZ080603,Lago,MZ0806,Niassa,MZ08,"38431","7686","1263","3","0","16","47"
"194",Manica,MZ040802,Manica,MZ0408,Manica,MZ04,"49589","9918","121","5","0","22","33"
"195",Manje,MZ100502,Chiuta,MZ1005,Tete,MZ10,"95454","19091","4112","4","4","15","48"
"196",Mapai,MZ021201,Mapai,MZ0212,Gaza,MZ02,"27478","5496","11601","5","0","46","35"
"197",Mapinhane,MZ031301,Vilankulo,MZ0313,Inhambane,MZ03,"75415","15083","4047","4","5","20","36"
"198",Mapulanguene,MZ050303,Magude,MZ0503,Maputo,MZ05,"4657","931","2671","0","0","96","14"
"199",Mapupulo,MZ011101,Montepuez,MZ0111,Cabo Delgado,MZ01,"33545","6709","743","3","0","15","54"
"200",Maquival,MZ111201,Maquival,MZ1112,Zambezia,MZ11,"109520","21904","617","5","0","13","53"
"201",Marangira,MZ081001,Marrupa,MZ0810,Niassa,MZ08,"4542","908","6769","2","0","16","47"
"202",Marara,MZ101001,Marara,MZ1010,Tete,MZ10,"85149","17030","2716","2","2","15","48"
"203",Maringue,MZ091002,Maringue,MZ0910,Sofala,MZ09,"55916","11183","2224","3","0","38","40"
"204",Marracuene,MZ050502,Marracuene,MZ0505,Maputo,MZ05,"260179","52036","465","9","1","96","14"
"205",Marromeu,MZ091102,Marromeu,MZ0911,Sofala,MZ09,"132902","26580","3752","25","0","38","40"
"206",Marrupa,MZ081002,Marrupa,MZ0810,Niassa,MZ08,"66543","13309","7421","8","13","16","47"
"207",Massangena,MZ021301,Massangena,MZ0213,Gaza,MZ02,"11059","2212","1877","1","0","46","35"
"208",Massangulo,MZ081702,Ngauma,MZ0817,Niassa,MZ08,"134495","26899","1583","5","1","16","47"
"209",Massinga,MZ030902,Massinga,MZ0309,Inhambane,MZ03,"166339","33268","2065","9","1","20","36"
"210",Massingir,MZ021401,Massingir,MZ0214,Gaza,MZ02,"15829","3166","1710","2","0","46","35"
"211",Matchedje,MZ081903,Sanga,MZ0819,Niassa,MZ08,"2896","579","5158","0","0","16","47"
"212",Matibane,MZ071602,Mossuril,MZ0716,Nampula,MZ07,"51345","10269","707","2","0","23","45"
"213",Matola Rio,MZ050102,Boane,MZ0501,Maputo,MZ05,"68840","13768","206","5","0","96","14"
"214",Matondovela,MZ081401,Mecula,MZ0814,Niassa,MZ08,"1418","284","8349","1","0","16","47"
"215",Matsinho,MZ041201,Vanduzi,MZ0412,Manica,MZ04,"61672","12334","1307","3","1","22","33"
"216",Maua,MZ081102,Maua,MZ0811,Niassa,MZ08,"50786","10157","6134","6","0","16","47"
"217",Mavago,MZ081202,Mavago,MZ0812,Niassa,MZ08,"30597","6119","4248","3","0","16","47"
"218",Mavala,MZ010204,Balama,MZ0102,Cabo Delgado,MZ01,"19435","3887","1284","1","0","15","54"
"219",Mavodze,MZ021402,Massingir,MZ0214,Gaza,MZ02,"10927","2185","3037","3","0","46","35"
"220",Mavonde,MZ040803,Manica,MZ0408,Manica,MZ04,"61167","12233","1002","2","0","22","33"
"221",Mavue,MZ021302,Massangena,MZ0213,Gaza,MZ02,"8737","1747","5667","2","0","46","35"
"222",Mawayela,MZ031201,Panda,MZ0312,Inhambane,MZ03,"6614","1323","2771","1","0","20","36"
"223",Maxixe,MZ031001,Maxixe,MZ0310,Inhambane,MZ03,"129834","25967","268","11","3","20","36"
"224",Mazeze,MZ010304,Chiure,MZ0103,Cabo Delgado,MZ01,"16834","3367","693","2","0","15","54"
"225",Mazivila,MZ020103,Bilene,MZ0201,Gaza,MZ02,"23623","4725","378","2","0","46","35"
"226",Mazula,MZ071103,Memba,MZ0711,Nampula,MZ07,"177805","35561","1570","3","0","23","45"
"227",Mbau,MZ011002,Mocimboa Da Praia,MZ0110,Cabo Delgado,MZ01,"11203","2241","785","1","0","15","54"
"228",Meconta,MZ070903,Meconta,MZ0709,Nampula,MZ07,"19026","3805","460","2","0","23","45"
"229",Mecuburi,MZ071001,Mecuburi,MZ0710,Nampula,MZ07,"106349","21270","3641","6","0","23","45"
"230",Mecufi,MZ010701,Mecufi,MZ0107,Cabo Delgado,MZ01,"41719","8344","620","2","0","15","54"
"231",Mecula,MZ081402,Mecula,MZ0814,Niassa,MZ08,"17129","3426","9666","10","0","16","47"
"232",Megaza,MZ111802,Morrumbala,MZ1118,Zambezia,MZ11,"60832","12166","1585","3","1","13","53"
"233",Meloco,MZ011403,Namuno,MZ0114,Cabo Delgado,MZ01,"31770","6354","1406","1","0","15","54"
"234",Meluco,MZ010801,Meluco,MZ0108,Cabo Delgado,MZ01,"15282","3056","4525","3","0","15","54"
"235",Memba,MZ071104,Memba,MZ0711,Nampula,MZ07,"98750","19750","1385","6","0","23","45"
"236",Meponda,MZ080103,Chimbonila,MZ0801,Niassa,MZ08,"20688","4138","819","1","0","16","47"
"237",Mepuagiua,MZ110603,Gurue,MZ1106,Zambezia,MZ11,"101798","20360","1289","4","0","13","53"
"238",Mesa,MZ010102,Ancuabe,MZ0101,Cabo Delgado,MZ01,"38796","7759","1414","3","0","15","54"
"239",Messano,MZ020104,Bilene,MZ0201,Gaza,MZ02,"23836","4767","368","2","0","46","35"
"240",Messica,MZ040804,Manica,MZ0408,Manica,MZ04,"68755","13751","822","5","0","22","33"
"241",Metangula,MZ080604,Lago,MZ0806,Niassa,MZ08,"42527","8505","828","3","4","16","47"
"242",Metarica,MZ081501,Metarica,MZ0815,Niassa,MZ08,"32928","6586","2614","6","1","16","47"
"243",Meti,MZ070502,Lalaua,MZ0705,Nampula,MZ07,"21902","4380","1660","2","0","23","45"
"244",Metoro,MZ010103,Ancuabe,MZ0101,Cabo Delgado,MZ01,"58638","11728","1418","1","0","15","54"
"245",Metuge,MZ010901,Metuge,MZ0109,Cabo Delgado,MZ01,"44451","8890","1460","4","18","15","54"
"246",Micaune,MZ110202,Chinde,MZ1102,Zambezia,MZ11,"35958","7192","2092","3","0","13","53"
"247",Mieze,MZ010902,Metuge,MZ0109,Cabo Delgado,MZ01,"58308","11662","128","1","1","15","54"
"248",Milange,MZ111302,Milange,MZ1113,Zambezia,MZ11,"492302","98460","3432","12","14","13","53"
"249",Milhana,MZ071002,Mecuburi,MZ0710,Nampula,MZ07,"19761","3952","1275","3","0","23","45"
"250",Mirate,MZ011102,Montepuez,MZ0111,Cabo Delgado,MZ01,"45906","9181","3118","1","0","15","54"
"251",Mitande,MZ080902,Mandimba,MZ0809,Niassa,MZ08,"64954","12991","3145","2","0","16","47"
"252",Miteda,MZ011302,Muidumbe,MZ0113,Cabo Delgado,MZ01,"25134","5027","474","1","0","15","54"
"253",Moamba,MZ050701,Moamba,MZ0507,Maputo,MZ05,"29419","5884","1468","1","0","96","14"
"254",Moatize,MZ101202,Moatize,MZ1012,Tete,MZ10,"124466","24893","3830","6","0","15","48"
