fid,adm3,adm3_code,adm2,adm2_code,adm1,adm1_code,pop,hh,area,health,schools,prov_elec,prov_poverty
"370",Quissico,MZ031401,Zavala,MZ0314,Inhambane,MZ03,"92263","18453","1055","5","0","20","36"
"371",Quiterajo,MZ010604,Macomia,MZ0106,Cabo Delgado,MZ01,"10588","2118","642","0","0","15","54"
"372",Quixaxe,MZ071202,Mogincual,MZ0712,Nampula,MZ07,"29245","5849","1435","3","0","23","45"
"373",Rapale,MZ072204,Rapale,MZ0722,Nampula,MZ07,"87272","17454","713","2","0","23","45"
"374",Regone,MZ112102,Namarroi,MZ1121,Zambezia,MZ11,"66289","13258","1687","2","0","13","53"
"375",Ressano Garcia,MZ050703,Moamba,MZ0507,Maputo,MZ05,"8970","1794","186","2","0","96","14"
"376",Ribaue,MZ072303,Ribaue,MZ0723,Nampula,MZ07,"130035","26007","2201","5","1","23","45"
"377",Rotanda,MZ041003,Sussundenga,MZ0410,Manica,MZ04,"13693","2739","1695","1","0","22","33"
"378",Sabie,MZ050704,Moamba,MZ0507,Maputo,MZ05,"23781","4756","2380","2","0","96","14"
"379",Saua-Saua,MZ072103,Nacaroa,MZ0721,Nampula,MZ07,"24185","4837","1095","2","0","23","45"
"380",Save,MZ030302,Govuro,MZ0303,Inhambane,MZ03,"22704","4541","2285","4","0","20","36"
"381",Save,MZ040602,Machaze,MZ0406,Manica,MZ04,"38293","7659","5035","5","0","22","33"
"382",Sena,MZ090203,Caia,MZ0902,Sofala,MZ09,"50953","10191","888","3","0","38","40"
"383",Socone,MZ110702,Ile,MZ1107,Zambezia,MZ11,"75479","15096","863","1","0","13","53"
"384",Sofala,MZ090103,Buzi,MZ0901,Sofala,MZ09,"33422","6684","2333","5","1","38","40"
"385",Songo,MZ100203,Cahora Bassa,MZ1002,Tete,MZ10,"48861","9772","595","6","0","15","48"
"386",Subwe,MZ091003,Maringue,MZ0910,Sofala,MZ09,"27344","5469","2242","2","0","38","40"
"387",Sussundenga,MZ041004,Sussundenga,MZ0410,Manica,MZ04,"75754","15151","1287","8","3","22","33"
"388",Tacuane,MZ111004,Lugela,MZ1110,Zambezia,MZ11,"28083","5617","1317","2","0","13","53"
"389",Tica,MZ091302,Nhamatanda,MZ0913,Sofala,MZ09,"92564","18513","1549","5","7","38","40"
"390",Tome,MZ030202,Funhalouro,MZ0302,Inhambane,MZ03,"15005","3001","4824","1","0","20","36"
"391",Tsangano,MZ101402,Tsangano,MZ1014,Tete,MZ10,"91408","18282","2294","2","0","15","48"
"392",Ulongue,MZ100102,Angonia,MZ1001,Tete,MZ10,"167253","33451","1139","7","1","15","48"
"393",Unango,MZ081904,Sanga,MZ0819,Niassa,MZ08,"18821","3764","2025","3","0","16","47"
"394",Urrene,MZ031203,Panda,MZ0312,Inhambane,MZ03,"4890","978","1297","1","0","20","36"
"395",Vanduzi,MZ041202,Vanduzi,MZ0412,Manica,MZ04,"103704","20741","1853","2","0","22","33"
"396",Vanduzi,MZ090803,Gorongosa,MZ0908,Sofala,MZ09,"45416","9083","1757","4","0","38","40"
"397",Vila Eduardo Mondlane,MZ020302,Chicualacuala,MZ0203,Gaza,MZ02,"19905","3981","4331","3","0","46","35"
"398",Vilankulo,MZ031302,Vilankulo,MZ0313,Inhambane,MZ03,"97502","19500","1806","6","2","20","36"
"399",Xhalala,MZ021105,Mandlakaze,MZ0211,Gaza,MZ02,"5618","1124","172","2","0","46","35"
"400",Xilembene,MZ020504,Chokwe,MZ0205,Gaza,MZ02,"61670","12334","441","4","0","46","35"
"401",Xinavane,MZ050406,Manhiça,MZ0504,Maputo,MZ05,"31804","6361","155","2","0","96","14"
"402",Zambue,MZ101502,Zumbu,MZ1015,Tete,MZ10,"24685","4937","3766","1","0","15","48"
"403",Zandamela,MZ031402,Zavala,MZ0314,Inhambane,MZ03,"65498","13100","956","7","0","20","36"
"404",Zembe,MZ040502,Macate,MZ0405,Manica,MZ04,"24997","4999","347","1","0","22","33"
"405",Zimane,MZ030802,Mabote,MZ0308,Inhambane,MZ03,"9719","1944","5635","2","0","20","36"
"406",Zinave,MZ030803,Mabote,MZ0308,Inhambane,MZ03,"16425","3285","4762","3","0","20","36"
"407",Zitundo,MZ050605,Matutuine,MZ0506,Maputo,MZ05,"9877","1975","865","4","0","96","14"
"408",Zobue,MZ101203,Moatize,MZ1012,Tete,MZ10,"363088","72618","2744","4","2","15","48"
"409",Zongoene,MZ020903,Limpopo,MZ0209,Gaza,MZ02,"29243","5849","556","3","0","46","35"
"410",Zulo,MZ021403,Massingir,MZ0214,Gaza,MZ02,"13016","2603","937","3","0","46","35"
"411",Zumbu,MZ101503,Zumbu,MZ1015,Tete,MZ10,"27523","5505","4909","7","0","15","48"
